amount,hour_of_day,is_night,recent_transaction_count,velocity_1h,previous_chargebacks,failed_transaction_count,is_new_device,is_new_ip,distance_from_home,device_account_count,ip_account_count,amount_deviation,is_fraud
23.84,9,0,2,3,0,0,0,0,29.6,1,2,0.858,0
33.88,19,0,0,1,0,0,0,1,87.5,1,2,0.121,0
14.85,17,0,1,1,0,0,0,0,16.2,2,3,0.781,0
34.83,1,1,5,4,0,2,0,1,143.8,3,2,0.239,0
2.44,16,0,2,1,0,0,0,0,19.3,1,2,0.925,0
8.11,8,0,2,1,0,0,0,0,83.5,2,4,0.779,0
19.85,9,0,5,1,0,0,0,0,73.7,1,1,0.845,0
10.43,16,0,3,1,0,0,0,0,132.5,1,1,0.908,0
64.18,1,1,7,8,2,5,1,1,157.7,3,3,0.219,1
13.35,15,0,0,1,0,0,0,0,4.2,4,1,3.510,0
59.33,10,0,4,2,0,0,0,0,94.4,1,4,11.926,0
14.26,10,0,2,1,0,0,0,0,50.1,1,1,0.571,0
71.13,11,0,3,2,0,0,0,0,9.4,3,2,6.036,0
22.18,13,0,2,2,0,0,0,0,15.9,1,2,0.380,0
48.54,15,0,1,1,0,2,0,0,21.9,3,2,0.289,0
19.78,20,0,1,3,0,0,0,0,4.9,2,3,0.269,0
12.60,20,0,2,2,0,0,0,0,16.1,2,1,0.410,0
12.45,13,0,0,2,0,1,0,0,7.1,1,2,0.917,0
27.40,17,0,2,2,0,0,0,0,83.2,1,1,0.027,0
243.58,10,0,6,1,0,0,1,0,234.2,4,3,11.167,0
25.47,20,0,2,1,0,0,0,0,19.0,3,3,2.937,0
46.95,19,0,2,2,0,0,0,0,7.8,3,1,1.507,0
9.78,17,0,3,3,0,0,0,0,43.0,1,2,0.522,0
4.59,12,0,2,1,0,0,0,0,3.2,1,1,0.857,0
21.72,9,0,4,1,0,3,0,1,6.9,1,2,3.153,0
17.55,17,0,3,1,0,1,0,0,12.0,1,2,0.755,0
37.37,13,0,0,1,0,0,0,0,303.3,1,2,2.373,0
34.88,13,0,0,0,0,0,0,0,32.9,1,1,6.252,0
6.38,10,0,3,1,0,0,0,0,65.6,1,2,0.835,0
20.27,17,0,1,1,0,1,0,0,0.9,1,1,0.667,0
16.44,21,0,2,1,0,0,0,0,4.5,2,1,0.007,0
9.30,18,0,2,1,0,0,0,0,42.3,1,2,0.880,0
