amount,hour_of_day,recent_transaction_count,velocity_1h,previous_chargebacks,failed_transaction_count,is_new_device,is_new_ip,distance_from_home,device_account_count,ip_account_count,avg_user_amount,is_fraud
23.84,9,2,3,0,0,0,0,29.6,1,2,168.02,0
33.88,19,0,1,0,0,0,1,87.5,1,2,30.23,0
14.85,17,1,1,0,0,0,0,16.2,2,3,67.85,0
34.83,1,5,4,0,2,0,1,143.8,3,2,45.77,0
2.44,16,2,1,0,0,0,0,19.3,0,2,32.32,0
8.11,8,2,1,0,0,0,0,83.5,2,4,36.64,0
19.85,9,5,1,0,0,0,0,73.7,0,1,10.76,0
10.43,16,3,1,0,0,0,0,132.5,0,0,113.13,0
64.18,1,7,8,2,5,1,1,157.7,3,3,52.67,1
13.35,15,0,1,0,0,0,0,4.2,4,0,2.96,0
59.33,10,4,2,0,0,0,0,94.4,0,4,4.59,0
14.26,10,2,1,0,0,0,0,50.1,1,0,33.21,0
71.13,11,3,2,0,0,0,0,9.4,3,2,10.11,0
22.18,13,2,2,0,0,0,0,15.9,1,2,35.77,0
48.54,15,1,1,0,2,0,0,21.9,3,2,37.65,0
19.78,20,1,3,0,0,0,0,4.9,2,3,27.06,0
12.6,20,2,0,0,0,0,0,16.1,2,1,21.34,0
12.45,13,0,2,0,1,0,0,7.1,0,2,149.76,0
27.4,17,2,0,0,0,0,0,83.2,0,1,26.68,0
243.58,10,6,1,0,0,1,0,234.2,4,3,20.02,0
25.47,20,2,1,0,0,0,0,19.0,3,3,6.47,0
46.95,19,2,0,0,0,0,0,7.8,3,1,18.73,0
9.78,17,3,0,0,0,0,0,43.0,1,2,20.44,0
4.59,12,2,1,0,0,0,0,3.2,1,1,32.09,0
21.72,9,4,1,0,3,0,1,6.9,1,2,5.23,0
17.55,17,3,1,0,1,0,0,12.0,1,2,71.76,0
37.37,13,0,1,0,0,0,0,303.3,1,2,11.08,0
34.88,13,0,0,0,0,0,0,32.9,0,1,4.81,0
6.38,10,3,1,0,0,0,0,65.6,1,2,38.6,0
20.27,17,1,0,0,1,0,0,0.9,0,0,60.9,0
16.44,21,2,1,0,0,0,0,4.5,2,1,16.33,0
9.3,18,2,1,0,0,0,0,42.3,0,2,77.25,0
22.22,12,0,0,0,0,0,0,42.5,1,2,47.98,0
27.6,17,2,0,0,0,0,0,77.3,2,1,20.37,0
78.72,14,2,1,0,0,0,0,45.7,0,1,25.9,0
107.52,16,4,1,0,0,0,0,24.7,1,0,13.58,0
57.28,18,4,0,0,0,0,0,110.2,1,2,37.09,0
27.76,13,4,0,0,0,0,0,85.2,0,3,16.9,0
29.39,11,0,1,0,0,0,0,173.6,3,3,70.57,0
69.68,10,5,0,0,0,0,0,26.9,1,1,38.84,0
33.51,13,1,0,0,0,0,0,158.7,1,3,71.77,0
12.7,16,2,2,0,1,0,0,55.9,2,2,27.78,0
97.88,12,2,2,0,0,0,0,54.1,1,0,8.89,0
274.9,0,4,1,1,5,1,0,192.2,3,2,28.1,0
72.41,12,2,2,0,1,0,0,9.2,0,1,87.6,0
33.89,19,5,6,1,9,1,0,50.0,4,8,11.14,1
133.6,18,2,4,0,1,0,0,19.2,0,2,20.22,0
20.71,10,6,1,0,0,0,0,29.5,1,2,12.37,0
8.76,14,1,0,0,0,0,0,65.9,2,0,11.75,0
33.08,16,2,2,0,0,1,0,42.6,1,3,151.59,0
34.32,9,4,5,0,1,0,0,40.1,5,2,47.79,0
13.02,19,3,1,0,1,0,0,55.3,0,3,15.3,0
51.02,16,3,2,0,1,0,0,17.2,0,3,113.29,0
29.25,10,8,2,0,0,0,0,43.8,2,0,9.76,0
76.65,15,4,5,0,4,0,0,105.1,3,2,21.42,0
4.76,13,0,1,0,0,0,0,37.4,0,0,42.35,0
52.97,20,3,1,0,0,0,0,23.3,0,0,40.59,0
48.24,16,1,0,0,0,0,0,36.5,1,1,20.78,0
29.67,20,1,1,0,0,0,0,1.4,2,2,23.63,0
33.79,13,1,2,0,0,0,1,4.7,2,1,17.66,0
116.11,9,1,0,0,0,0,1,101.0,0,1,11.35,0
64.07,18,4,0,0,0,0,0,47.0,1,1,30.28,0
21.78,13,1,1,0,0,0,0,30.2,1,2,15.69,0
5.44,15,5,1,0,1,0,0,23.3,1,5,283.86,0
35.26,20,3,0,0,0,0,0,145.8,2,1,40.51,0
16.46,20,3,0,0,0,0,0,32.8,3,3,6.57,0
106.73,15,2,0,0,0,0,0,11.6,1,6,16.93,0
22.11,17,5,1,0,0,1,0,12.1,1,1,18.05,0
6.64,9,0,1,0,1,0,0,64.5,1,3,7.77,0
13.51,9,3,2,0,1,0,0,23.4,0,3,135.47,0
25.0,14,1,0,0,0,0,0,0.0,2,1,43.12,0
871.97,23,2,9,0,2,0,1,14.5,2,4,94.65,0
6.34,15,1,1,0,0,0,1,162.4,3,2,23.74,0
19.56,10,2,0,0,0,0,0,71.4,2,0,16.36,0
12.34,15,2,0,0,0,0,0,222.9,1,2,24.97,0
28.53,18,0,0,1,0,0,0,67.5,1,0,53.1,0
35.16,13,2,2,0,0,0,0,256.1,0,1,42.01,0
59.79,1,8,4,0,2,1,0,32.9,3,4,6.83,0
36.06,17,4,0,0,1,0,0,18.4,2,2,14.92,0
22.07,9,2,0,0,1,0,0,38.7,1,1,17.65,0
36.56,14,0,1,0,0,0,0,35.6,2,4,53.44,0
102.73,13,1,2,1,0,0,0,9.6,0,4,30.72,0
30.71,19,3,2,0,0,0,0,62.4,0,0,18.25,0
57.27,18,3,0,0,0,0,0,115.7,1,1,25.66,0
65.18,19,1,2,1,1,0,0,10.6,0,0,27.15,0
12.31,15,0,2,0,0,0,0,97.2,1,3,28.26,0
17.42,19,1,2,0,0,0,0,41.4,2,0,8.29,0
34.8,21,11,1,0,1,0,0,27.8,1,3,25.68,0
16.73,12,2,3,0,0,0,0,17.1,3,0,47.73,0
12.82,21,2,0,0,0,0,0,9.4,2,1,92.33,0
22.84,20,3,2,0,0,0,0,11.6,1,0,27.25,0
19.86,10,3,1,0,0,0,0,35.9,1,2,171.39,0
6.43,15,0,2,0,0,0,1,7.1,0,0,10.94,0
19.03,14,4,1,0,1,0,0,102.9,4,2,129.68,0
44.22,10,4,0,0,0,0,0,55.8,0,0,12.49,0
58.89,14,2,0,0,0,0,0,143.2,1,1,16.71,0
30.75,9,2,3,0,0,0,0,13.3,3,0,31.86,0
169.85,13,3,1,0,0,1,0,7.1,0,1,42.28,0
12.74,19,3,0,0,0,0,0,58.2,1,4,88.58,0
24.51,16,4,3,1,0,0,0,20.0,1,1,45.01,0
6.74,15,2,2,0,0,0,0,2.4,1,1,68.11,0
70.32,12,3,1,0,1,0,0,45.5,1,3,43.6,0
13.38,19,3,1,0,0,1,0,33.6,2,1,20.11,0
27.14,13,2,0,1,0,0,0,19.6,2,1,25.25,0
38.02,20,3,0,0,0,0,0,103.9,0,3,60.58,0
32.11,12,1,1,0,0,0,0,83.1,0,1,25.4,0
29.31,13,2,1,0,1,1,0,128.0,0,1,10.24,0
41.01,11,2,2,0,0,0,0,10.7,0,2,11.68,0
42.11,10,0,3,0,0,0,0,145.5,0,2,5.81,0
30.54,10,0,1,0,0,0,0,116.3,0,1,30.21,0
9.38,15,1,0,0,1,0,0,3.5,1,2,43.18,0
